business_scale,risk_exposure,data_type,potential_loss,annual_revenue,compliance_requirements,premium
Large,Medium,Sensitive,299322,16330532,yes,3616
Large,Low,Sensitive,3458635,5351262,yes,8833
Large,Medium,Non-sensitive,2683652,11820067,yes,3244
Large,High,Non-sensitive,2374884,19794081,yes,8121
Large,High,Sensitive,3343625,2429721,no,5681
Small,Medium,Sensitive,4072688,3628935,no,3375
Large,Medium,Sensitive,2594396,3937407,yes,7235
Small,Medium,Sensitive,3532076,15278199,no,7765
Large,Low,Non-sensitive,4833947,7744882,no,12156
Large,High,Sensitive,4717398,13595167,no,4052
Medium,Medium,Non-sensitive,3740529,1594242,no,9982
Large,High,Non-sensitive,2843059,18235517,no,7116
Large,Low,Sensitive,297745,4129280,yes,7898
Medium,High,Non-sensitive,3850725,13202881,yes,11422
Large,Medium,Non-sensitive,2154867,16342184,yes,7870
Medium,Low,Non-sensitive,1367705,6131510,yes,8254
Small,Low,Non-sensitive,1562678,4252971,yes,7094
Small,Low,Sensitive,3398463,12244976,no,3052
Small,Low,Sensitive,864805,17129512,no,6922
Medium,High,Sensitive,1738746,5684895,yes,12170
Medium,High,Non-sensitive,1484280,14038784,no,11322
Small,Medium,Sensitive,809699,3376393,no,5325
Medium,Medium,Sensitive,1620077,14448739,no,8528
Large,Low,Non-sensitive,226963,13040687,yes,9820
Small,Medium,Sensitive,3159361,1703109,yes,3552
Small,Low,Sensitive,2351706,2857698,no,6867
Small,Medium,Sensitive,2668818,3281646,no,13423
Medium,High,Sensitive,200160,15589075,no,12614
Small,High,Non-sensitive,4397526,2052675,no,10142
Large,Low,Sensitive,4118239,10832746,no,13964
Medium,High,Sensitive,982388,18701537,no,10787
Medium,High,Sensitive,3821947,5128219,no,14957
Large,Medium,Non-sensitive,130694,16771946,yes,10375
Small,High,Non-sensitive,4674255,11750686,yes,7029
Large,Low,Sensitive,4999589,2779637,no,8693
Large,Low,Sensitive,2948332,18372901,yes,10764
Large,Low,Non-sensitive,1691841,17278836,no,12676
Large,High,Non-sensitive,695394,19040131,no,9956
Large,Medium,Sensitive,4592958,1010006,no,6786
Large,Medium,Sensitive,129610,4265493,no,5788
Small,Medium,Sensitive,2364207,16341401,no,6461
Large,High,Non-sensitive,1762106,14685161,yes,3739
Large,Medium,Non-sensitive,2062730,4393747,no,3016
Medium,Low,Sensitive,1903049,13932409,no,8959
Small,Low,Non-sensitive,432424,10916961,no,8620
Small,High,Non-sensitive,3438250,14642362,no,7196
Large,Low,Non-sensitive,3268248,1792872,yes,8595
Large,Medium,Non-sensitive,2124049,17609778,no,11671
Large,High,Sensitive,3118701,12605625,no,9552
Large,High,Non-sensitive,786133,8715042,no,14257
Large,Medium,Sensitive,4999721,1045984,yes,11490
Small,Medium,Sensitive,3581680,6565994,yes,11506
Large,Low,Non-sensitive,4771034,12173586,yes,7925
Large,Low,Sensitive,3995497,10854551,no,10039
Large,Medium,Non-sensitive,517599,18739462,no,5799
Medium,Low,Sensitive,4509603,2343024,no,6154
Large,Medium,Non-sensitive,3153447,12174893,no,6132
Large,Low,Non-sensitive,2668717,15028466,no,9303
Small,Medium,Non-sensitive,2778931,19497864,yes,10925
Small,Medium,Sensitive,2016962,2093300,no,8919
Medium,Low,Sensitive,4823497,11926543,yes,6541
Small,Medium,Sensitive,4828143,8146781,no,8047
Small,Low,Non-sensitive,4560009,5469321,yes,5638
Large,Medium,Non-sensitive,276272,1257031,yes,4655
Large,Medium,Sensitive,3912608,2025167,yes,8456
Small,Medium,Sensitive,3008253,14240060,no,8945
Small,Medium,Non-sensitive,1088584,2610083,no,7633
Large,High,Sensitive,633658,3615018,no,3340
Medium,Medium,Sensitive,1269081,4165376,no,6140
Large,Medium,Sensitive,1932526,2031062,yes,11116
Medium,Low,Sensitive,3121921,14359186,no,11781
Medium,Low,Non-sensitive,1167091,19148373,yes,14175
Large,Medium,Sensitive,1455222,5136356,yes,12867
Small,High,Sensitive,2785291,18353405,yes,4904
Medium,Low,Non-sensitive,3932809,12250904,yes,5165
Large,Medium,Non-sensitive,4311910,16875234,no,11014
Small,Medium,Non-sensitive,2109201,5401562,no,6752
Large,High,Sensitive,1977165,4806380,no,9162
Medium,Low,Non-sensitive,3207062,3394441,no,9234
Large,Medium,Non-sensitive,3832164,2944084,no,14191
Large,Low,Non-sensitive,838884,18911911,yes,10864
Medium,High,Non-sensitive,995380,18996477,yes,5364
Small,Low,Non-sensitive,1487563,13625543,no,12896
Large,Medium,Sensitive,1643035,18248394,yes,3681
Large,Low,Sensitive,3855392,13446968,yes,7905
Medium,High,Sensitive,3213441,9441531,no,13858
Small,Low,Sensitive,2985162,14811940,yes,6290
Medium,High,Non-sensitive,1415990,1245497,yes,6235
Medium,Medium,Non-sensitive,449441,3798212,yes,11612
Small,Low,Non-sensitive,1462073,3345026,no,6431
Medium,High,Non-sensitive,986528,6179394,yes,12956
Medium,Medium,Non-sensitive,2154477,16439526,no,5971
Small,Medium,Non-sensitive,2945634,19734442,no,7191
Medium,High,Sensitive,1910663,4989412,no,3954
Small,High,Non-sensitive,1250024,15945584,yes,10801
Medium,Low,Non-sensitive,3731460,14150241,no,4402
Medium,Low,Non-sensitive,1106660,1166312,yes,13940
Small,Medium,Non-sensitive,2825362,12904078,yes,7118
Medium,Medium,Non-sensitive,1504159,12403147,yes,5386
Small,High,Non-sensitive,294708,6165579,yes,6615
Small,Medium,Sensitive,132375,7435945,yes,4898
Large,High,Sensitive,4012137,13983536,no,14594
Small,Medium,Non-sensitive,2582758,11014174,no,9555
Small,Medium,Non-sensitive,3135118,13559059,yes,3233
Medium,Medium,Sensitive,3199105,1049579,no,6460
Large,Low,Non-sensitive,3866310,1661170,no,10778
Small,Low,Non-sensitive,2375539,10445768,no,13214
Medium,Medium,Non-sensitive,4778522,13047040,no,7239
Large,Medium,Non-sensitive,1838487,8991757,no,12105
Medium,High,Sensitive,2513012,15199904,no,6104
Medium,Low,Non-sensitive,3333357,2314739,yes,10938
Medium,Low,Non-sensitive,3405975,4522203,yes,6446
Medium,Low,Sensitive,4673820,4472421,no,8719
Small,Medium,Non-sensitive,4398312,12807551,yes,9478
Large,Medium,Sensitive,1058649,14280277,no,10329
Small,Low,Non-sensitive,1837233,16478648,yes,14539
Small,Medium,Non-sensitive,4037438,3292821,yes,6438
Large,Low,Non-sensitive,3650380,1490817,yes,12639
Medium,Medium,Non-sensitive,3696674,19108978,yes,8496
Large,High,Sensitive,3060904,15692672,no,10906
Medium,High,Non-sensitive,4662161,12083407,no,7798
Medium,High,Non-sensitive,3353817,15416538,no,8744
Medium,Low,Non-sensitive,3298912,1908333,yes,8702
Small,Medium,Non-sensitive,3727303,19102326,no,4047
Large,Low,Sensitive,2904792,8858274,yes,9112
Small,High,Non-sensitive,1120110,16169919,yes,13721
Medium,High,Sensitive,4148581,15692453,no,11783
Large,Low,Sensitive,4267889,2399953,no,8456
Medium,Medium,Sensitive,1893586,1700928,no,8508
Small,Low,Sensitive,3252001,15192548,yes,11711
Large,Medium,Sensitive,4328194,9034863,yes,9243
Medium,Medium,Sensitive,3119477,9880346,yes,8337
Large,High,Non-sensitive,548475,9341231,yes,8291
Small,Medium,Non-sensitive,1420488,7442711,yes,5796
Medium,Medium,Non-sensitive,3951124,12335067,no,7895
Large,High,Sensitive,4017738,9037397,yes,8610
Medium,High,Sensitive,1412913,13216417,no,10533
Medium,Medium,Sensitive,2306157,12658724,yes,13956
Medium,High,Non-sensitive,4969266,8527668,no,3177
Medium,Medium,Non-sensitive,3414526,7920515,yes,4399
Small,Medium,Non-sensitive,188181,1275085,yes,14329
Medium,Medium,Sensitive,4619841,5205320,no,14627
Medium,Low,Sensitive,1235686,14442966,yes,8689
Small,Low,Non-sensitive,772043,4090251,yes,8164
Large,High,Non-sensitive,2113677,10442293,yes,7033
Large,Low,Sensitive,2553634,13012042,no,5722
Large,Low,Sensitive,1582392,7176038,yes,14268
Medium,Low,Sensitive,2545741,3073005,no,10818
Small,High,Sensitive,3615279,11602623,yes,3479
Medium,High,Sensitive,1414396,13188392,no,9877
Medium,Medium,Non-sensitive,864811,13761554,no,10461
Large,Low,Sensitive,1621893,12226003,no,11087
Large,High,Sensitive,4020744,17221870,yes,10833
Medium,High,Sensitive,421627,7640423,no,4772
Medium,High,Sensitive,1794915,9781717,yes,11423
Medium,High,Sensitive,3301029,8610351,no,3327
Small,Low,Non-sensitive,3693626,2105964,yes,12731
Large,High,Non-sensitive,2473868,1534945,no,10507
Medium,High,Non-sensitive,1835936,6179938,yes,11936
Large,High,Sensitive,3674118,2434078,no,9055
Small,Medium,Sensitive,4620453,12286950,yes,12433
Medium,Low,Sensitive,3969945,19220293,no,14523
Medium,Medium,Non-sensitive,3513037,1701028,yes,12857
Medium,High,Non-sensitive,2694544,14463922,no,10350
Medium,High,Sensitive,4913200,7137364,yes,5612
Large,High,Sensitive,991523,7528280,yes,4615
Small,High,Sensitive,1111733,12146905,yes,14613
Medium,High,Non-sensitive,1797337,14955215,no,8622
Large,Medium,Sensitive,3393776,8420071,yes,7565
Large,High,Non-sensitive,3608928,12124658,yes,4256
Small,Medium,Non-sensitive,108114,19648912,yes,13963
Medium,Low,Non-sensitive,400414,14739547,no,12764
Small,Medium,Sensitive,4899616,15193291,yes,5421
Small,High,Sensitive,1758965,11510939,no,7453
Large,High,Sensitive,3305337,16065140,yes,5508
Large,High,Sensitive,1860597,8908939,yes,11995
Large,Low,Sensitive,1457274,18999720,no,12868
Small,Medium,Sensitive,4809991,2354984,no,11767
Medium,High,Non-sensitive,933891,3572669,yes,5328
Medium,Low,Sensitive,847595,5665559,no,4624
Small,Low,Sensitive,3453169,9821405,yes,10031
Large,High,Sensitive,1070371,9532760,no,11312
Small,Low,Sensitive,2145106,6757536,no,6651
Small,Medium,Sensitive,484860,18252004,yes,4543
Medium,Medium,Non-sensitive,2154313,17667431,yes,14617
Small,Low,Sensitive,3846749,3739170,yes,5285
Large,High,Non-sensitive,1431604,4575312,no,9777
Small,Low,Sensitive,1659045,16442838,no,4241
Large,High,Non-sensitive,3794872,4214385,yes,4538
Small,Medium,Non-sensitive,4255548,13496525,no,13003
Large,High,Non-sensitive,4716604,1203178,no,8038
Medium,Medium,Non-sensitive,4579552,8589555,no,3883
Small,High,Sensitive,4701819,3855988,yes,13836
Small,Medium,Non-sensitive,3432014,3025165,yes,8884
Medium,Low,Sensitive,335776,2878043,yes,3374
Small,Medium,Non-sensitive,3607307,17394879,no,10677
Large,High,Sensitive,3764222,11939098,yes,12887
Small,High,Sensitive,233113,15893940,no,14274
Medium,High,Non-sensitive,598915,1997772,no,8452
Large,Medium,Non-sensitive,1683352,16041661,yes,14708
Medium,Medium,Sensitive,2276553,3915158,yes,4679
Medium,High,Non-sensitive,467094,10153587,yes,7641
Small,Medium,Sensitive,2304066,11392105,no,12048
Small,High,Non-sensitive,1045685,6808967,no,9201
Small,Medium,Non-sensitive,3311514,10890980,no,3587
Large,Medium,Non-sensitive,4721892,1599648,no,10494
Large,Low,Sensitive,2749647,3475936,yes,13099
Large,Low,Sensitive,418403,10975658,no,9713
Small,High,Sensitive,774848,2707378,no,13046
Medium,High,Sensitive,923410,19353658,no,9383
Small,High,Sensitive,1368371,9364698,yes,10599
Medium,Low,Non-sensitive,2707001,8062766,no,7291
Large,High,Non-sensitive,4937017,3515158,no,3459
Large,Medium,Sensitive,919635,12464137,no,4030
Medium,Low,Sensitive,1480487,2783194,yes,11514
Medium,Low,Sensitive,4850660,13941496,no,5196
Large,Medium,Sensitive,4665408,6192166,yes,4471
Small,High,Non-sensitive,459462,5162815,yes,6040
Small,Medium,Non-sensitive,3015766,4242053,yes,13731
Medium,Low,Sensitive,4367256,18917002,yes,8926
Large,Low,Sensitive,2480227,11886686,yes,8900
Large,Medium,Sensitive,604799,11141893,yes,14238
Large,Medium,Sensitive,748383,2276367,yes,13693
Small,Low,Non-sensitive,4868737,13538361,no,11819
Medium,Medium,Sensitive,2641227,1133892,no,13462
Large,Medium,Non-sensitive,3164831,13564515,yes,5399
Medium,High,Non-sensitive,1234652,2381987,no,9701
Medium,Medium,Sensitive,4791712,3638534,no,10812
Small,High,Non-sensitive,2675224,17075346,no,12562
Small,High,Non-sensitive,1951023,19031313,no,8286
Large,Medium,Sensitive,1420403,15420881,no,8773
Large,High,Non-sensitive,1624675,16762225,yes,9465
Medium,Low,Sensitive,3258261,12727626,no,9188
Medium,Low,Sensitive,2513220,7608157,no,12163
Small,High,Sensitive,1495163,15766834,yes,8746
Large,High,Sensitive,4805279,18438153,no,9754
Medium,High,Non-sensitive,2660511,6198066,yes,9626
Medium,Medium,Sensitive,3118483,16989658,no,6992
Medium,High,Sensitive,217738,3939066,no,4328
Medium,Low,Non-sensitive,579205,11554341,no,10697
Medium,High,Sensitive,3161940,1779123,no,3964
Medium,High,Sensitive,4239956,4428666,no,5913
Large,Low,Non-sensitive,3643626,5905405,yes,8341
Small,Medium,Non-sensitive,1876005,6992204,yes,7651
Medium,Medium,Sensitive,1188588,8457029,no,11775
Small,Medium,Sensitive,4534379,2596088,yes,3399
Small,Low,Non-sensitive,1983484,1129524,no,9190
Large,Medium,Sensitive,105976,12319792,no,7564
Large,Medium,Sensitive,3766248,4404125,yes,13590
Large,Low,Non-sensitive,1380633,17900645,no,6013
Medium,Low,Non-sensitive,4403367,16826496,yes,12948
Large,Low,Sensitive,3679432,15178801,yes,11108
Medium,Medium,Non-sensitive,1888417,10168816,yes,11016
Small,Medium,Sensitive,312304,7219131,yes,14900
Large,Medium,Sensitive,2276266,8865742,yes,8585
Small,Medium,Non-sensitive,2646863,15619873,yes,7576
Small,Medium,Non-sensitive,942917,16467188,yes,5981
Large,High,Non-sensitive,2850149,3255404,no,3710
Medium,High,Non-sensitive,1153732,1106860,no,12158
Medium,High,Sensitive,390713,16658539,yes,14546
Small,Medium,Non-sensitive,4783998,8954770,no,11519
Large,Low,Sensitive,1334505,7996863,no,12789
Large,Low,Sensitive,3978703,18742948,no,10120
Small,Medium,Non-sensitive,2373578,19625595,yes,6875
Small,Low,Non-sensitive,3185401,6884622,no,14805
Medium,High,Sensitive,4583994,5409453,yes,5985
Medium,High,Non-sensitive,2131363,19350901,no,13657
Medium,High,Non-sensitive,3407225,5808619,no,13941
Small,Low,Sensitive,4207812,11562912,no,8458
Medium,Low,Sensitive,3519315,10997386,no,14095
Large,Low,Sensitive,1662349,4162586,no,10383
Small,Low,Non-sensitive,1125822,12164852,no,10236
Small,Medium,Non-sensitive,4067788,8050304,yes,13568
Medium,Medium,Sensitive,4043237,11464215,no,9396
Large,Low,Non-sensitive,2883984,3379147,yes,5210
Medium,Low,Sensitive,1870731,7228965,yes,4313
Medium,High,Sensitive,417381,6497235,yes,13492
Small,Medium,Non-sensitive,440231,7022037,no,14722
Small,Low,Sensitive,293233,16025861,no,11539
Large,High,Non-sensitive,2673131,12606864,no,11424
Small,Medium,Non-sensitive,3677005,13708975,yes,9268
Small,Low,Sensitive,744221,11327018,yes,11774
Medium,Low,Sensitive,4621423,6371568,no,11807
Medium,High,Non-sensitive,447343,3824416,no,12951
Small,High,Non-sensitive,3396019,4159189,no,4914
Small,Low,Non-sensitive,1731730,9485393,no,10001
Small,Low,Non-sensitive,4743570,15219574,yes,8753
Medium,Low,Sensitive,3427104,12520961,no,8342
Small,High,Non-sensitive,1827760,19645161,yes,7375
Large,Low,Non-sensitive,1777278,7005120,yes,13738
Medium,High,Sensitive,4564487,6164553,no,8415
Medium,Medium,Non-sensitive,4782616,8004852,yes,3556
Medium,Low,Non-sensitive,3758560,12135304,yes,6266
Medium,High,Sensitive,1773010,9454105,yes,3462
Small,Medium,Sensitive,1868125,2427865,yes,4422
Medium,Medium,Non-sensitive,2059659,11802717,yes,9761
Large,Medium,Non-sensitive,2219944,18093538,yes,10478
Large,High,Non-sensitive,3965424,9558501,yes,14788
Large,High,Sensitive,607631,18459044,no,6231
Large,Medium,Sensitive,3427129,3980025,yes,14169
Small,High,Sensitive,1443239,1826982,no,9958
Medium,Medium,Non-sensitive,3305929,14537732,no,6538
Small,Medium,Sensitive,1742368,3849225,yes,13497
Large,Low,Sensitive,1255731,17182507,yes,5155
Small,Low,Sensitive,2599244,16974228,yes,5965
Small,High,Sensitive,503170,14693162,no,10888
Small,Low,Sensitive,2412283,11089395,no,7884
Small,Medium,Sensitive,2822560,2490217,no,9087
Medium,Low,Non-sensitive,3107001,8713943,no,10235
Medium,Low,Non-sensitive,4367189,3648127,no,11063
Small,High,Sensitive,2296252,18048297,yes,6028
Medium,High,Non-sensitive,4160864,9085677,yes,3233
Large,Medium,Non-sensitive,2885743,19390273,yes,7955
Medium,High,Non-sensitive,4491370,15351008,no,11657
Large,Medium,Non-sensitive,2383587,13546783,yes,8628
Medium,Low,Non-sensitive,908657,6050483,yes,10055
Small,Low,Sensitive,4202505,7522127,no,5603
Small,Low,Sensitive,1576129,2720613,yes,9127
Large,High,Non-sensitive,2008821,5722828,yes,5891
Small,Low,Sensitive,3087381,10701029,no,6991
Small,Low,Non-sensitive,3208961,13079779,yes,12523
Medium,Medium,Sensitive,3183595,4118661,yes,9358
Medium,Medium,Non-sensitive,4851222,17461436,yes,5558
Medium,High,Non-sensitive,4657927,19836128,no,5007
Small,Medium,Non-sensitive,425561,7467232,yes,5909
Medium,Medium,Non-sensitive,4011361,7986028,no,11474
Large,High,Sensitive,306943,18291788,no,12695
Large,High,Non-sensitive,603327,9514628,no,12520
Small,Medium,Sensitive,527196,15618824,no,14511
Small,High,Non-sensitive,4424890,16131538,no,6737
Medium,Medium,Sensitive,3307480,2809062,no,14151
Medium,High,Non-sensitive,4965254,3477254,no,13645
Medium,High,Sensitive,62810,17339273,no,3050
Large,High,Non-sensitive,1458155,4005650,no,14408
Large,Low,Non-sensitive,2299769,12748306,no,13010
Large,Low,Non-sensitive,4188310,7079389,yes,4956
Medium,High,Non-sensitive,1601377,18684582,no,6583
Large,Medium,Sensitive,480682,8119913,no,4766
Medium,Low,Sensitive,3904071,9361914,no,3141
Large,Low,Sensitive,1580707,9825231,no,3345
Large,High,Non-sensitive,2217513,5787526,yes,14294
Small,Medium,Sensitive,2250948,9150179,yes,14937
Large,Low,Non-sensitive,919542,19052468,yes,6911
Small,High,Non-sensitive,1634745,1053085,yes,5307
Medium,Medium,Non-sensitive,4318254,14158429,no,14843
Small,High,Non-sensitive,884417,16408674,no,13993
Medium,Low,Non-sensitive,3561902,1791619,no,13186
Medium,Low,Sensitive,2941548,19927256,yes,14790
Large,Low,Non-sensitive,4375398,18408588,no,7455
Small,Medium,Sensitive,1047365,8061339,no,3906
Large,High,Sensitive,4391630,14467881,yes,5492
Small,Low,Non-sensitive,839166,5769629,yes,14331
Small,Low,Sensitive,1627163,2815112,no,6376
Small,Low,Sensitive,4724485,7596775,yes,10819
Medium,Low,Non-sensitive,4807633,6657917,no,13646
Large,Medium,Sensitive,2247718,12868956,yes,4456
Small,Medium,Non-sensitive,2254690,16599324,no,14756
Medium,Low,Sensitive,184472,16046229,no,13334
Small,Medium,Sensitive,2534751,14516324,yes,13287
Small,High,Non-sensitive,3822988,10410589,no,8569
Medium,High,Sensitive,4346816,13964321,yes,13281
Small,High,Sensitive,4258726,19756847,yes,11448
Small,Low,Non-sensitive,4598419,1266596,yes,12521
Large,High,Sensitive,553476,14734847,yes,14038
Medium,High,Non-sensitive,1670529,12577006,no,5958
Large,Medium,Non-sensitive,2233870,1046828,no,14212
Small,Low,Non-sensitive,651407,10216926,no,7410
Small,Low,Sensitive,1530859,14506048,yes,12289
Medium,Low,Sensitive,3870826,1237684,no,5397
Medium,High,Non-sensitive,4010146,9435712,yes,9582
Large,High,Sensitive,1603640,15870237,yes,3249
Large,High,Sensitive,4236454,15578297,no,14102
Medium,Low,Sensitive,3307351,11158168,yes,7715
Small,Low,Non-sensitive,3673647,6876278,yes,10479
Large,Medium,Non-sensitive,533924,18866319,yes,5047
Small,High,Sensitive,4136915,6235019,yes,12220
Medium,Low,Sensitive,3862068,14886592,no,8950
Small,Low,Non-sensitive,1878826,18444992,no,7855
Small,High,Non-sensitive,1271928,16348839,no,4633
Small,Medium,Non-sensitive,4257052,16953698,yes,4971
Small,Low,Non-sensitive,2062159,14795229,no,4666
Medium,Medium,Sensitive,4202663,9431822,no,3370
Medium,High,Sensitive,1351663,3490477,no,13502
Large,Medium,Non-sensitive,3549092,12554075,yes,14889
Medium,Medium,Sensitive,1284497,2018949,no,8181
Medium,Low,Non-sensitive,3313197,13050352,no,9900
Small,Low,Sensitive,662842,13908932,yes,8097
Small,High,Non-sensitive,1076335,10812810,yes,10008
Medium,Low,Non-sensitive,996136,13948511,yes,4533
Medium,High,Non-sensitive,3149548,4984956,no,12624
Small,High,Sensitive,771882,9676267,yes,10976
Large,High,Non-sensitive,2096046,17274079,no,6681
Large,Low,Sensitive,870191,17941437,no,5715
Medium,High,Non-sensitive,2930671,9857709,no,12510
Large,Low,Non-sensitive,4660224,2677828,no,11589
Medium,Medium,Sensitive,3005520,14027179,no,10017
Medium,Medium,Sensitive,2974067,6135579,yes,7851
Small,High,Sensitive,2307790,2183887,yes,5803
Large,Medium,Sensitive,2143352,7288568,no,3050
Small,Medium,Sensitive,4714889,15295301,no,8893
Small,Low,Sensitive,3702887,4242571,no,13487
Small,Low,Non-sensitive,4581574,15608067,yes,6046
Large,Low,Non-sensitive,2702926,1538391,no,7028
Large,Low,Sensitive,2835833,5133310,yes,7669
Medium,High,Sensitive,4473641,14311184,no,12539
Large,Low,Sensitive,4054020,3093378,yes,10337
Medium,Low,Non-sensitive,805586,16328627,yes,14070
Large,Low,Non-sensitive,369191,14889866,no,9358
Large,High,Sensitive,3991599,3656706,no,4679
Large,Medium,Sensitive,4882542,13566608,yes,4465
Large,Low,Sensitive,4970041,13631468,no,11908
Medium,Low,Sensitive,3719611,11591120,yes,12493
Small,Low,Sensitive,3936371,1103784,no,4774
Large,High,Non-sensitive,1777467,13439431,yes,7218
Large,High,Sensitive,4852846,4570417,no,4535
Small,Medium,Non-sensitive,3482987,11034853,yes,10774
Large,High,Non-sensitive,3337004,7617034,yes,3168
Small,Medium,Non-sensitive,2862986,5887670,yes,14917
Large,High,Sensitive,1562684,5486503,no,8612
Large,High,Non-sensitive,3298641,10604063,yes,3497
Small,Medium,Sensitive,2569102,11804633,yes,4128
Small,High,Non-sensitive,1090002,18909297,yes,14854
Large,Low,Non-sensitive,3048081,12724218,no,4154
Medium,Low,Sensitive,2642677,2731555,yes,14179
Small,Low,Non-sensitive,2677181,10164599,yes,7798
Large,Medium,Non-sensitive,504012,11056979,yes,10620
Large,Medium,Sensitive,3416154,3827438,yes,11962
Large,Medium,Sensitive,4005865,6181739,no,9292
Large,High,Non-sensitive,1555160,3422368,yes,7067
Small,Low,Non-sensitive,122990,18264642,no,8825
Small,Medium,Sensitive,3706404,4377276,yes,14406
Small,Low,Non-sensitive,3975909,1049333,yes,6538
Medium,Low,Sensitive,3241175,1378539,yes,5037
Medium,Medium,Non-sensitive,706587,19616323,yes,5775
Small,Low,Sensitive,2816780,8532245,yes,14037
Medium,High,Sensitive,959650,8065071,yes,6681
Small,Medium,Sensitive,4752997,10703246,yes,3897
Small,High,Sensitive,247731,4255695,no,10937
Large,Low,Sensitive,336886,3993142,no,9784
Large,Low,Non-sensitive,2239485,13250419,yes,4702
Medium,Low,Sensitive,4068689,14722813,no,6503
Medium,High,Non-sensitive,3077565,13104326,yes,9605
Medium,High,Non-sensitive,381656,2910514,no,13150
Large,High,Sensitive,3133402,18780226,yes,5756
Large,Medium,Non-sensitive,458191,4085248,no,3522
Small,Low,Non-sensitive,2678000,2501861,no,3152
Small,Low,Non-sensitive,4603619,15585325,yes,11037
Small,High,Sensitive,4608405,5378814,yes,4891
Small,Medium,Sensitive,1758782,2688181,yes,9680
Small,Low,Sensitive,885487,13162599,no,9238
Medium,Medium,Non-sensitive,4841922,7552505,yes,6631
Small,Low,Sensitive,593906,2839603,no,13329
Large,Low,Non-sensitive,4899549,8349504,yes,10478
Small,Medium,Non-sensitive,1752917,16928990,no,13314
Small,High,Sensitive,4589569,15237113,yes,9688
Large,Low,Non-sensitive,239911,3921130,no,9993
Medium,Low,Non-sensitive,149816,14634584,no,8171
Large,Medium,Non-sensitive,3769953,16097343,yes,3438
Small,Medium,Sensitive,4316990,3872573,no,3067
Large,High,Non-sensitive,2034376,2725557,yes,13615
Large,Low,Sensitive,3163831,3517242,no,14619
Small,Medium,Non-sensitive,3493653,16733650,no,14134
Large,Medium,Sensitive,112304,3600718,no,4279
Medium,Medium,Sensitive,4645592,15422598,no,11074
Large,High,Non-sensitive,117849,18213711,no,4234
Medium,Low,Non-sensitive,2260582,17951324,no,3879
Large,High,Sensitive,4514609,9309502,yes,7062
Small,Medium,Sensitive,3919394,17790415,no,11526
Large,Low,Sensitive,4504053,2037468,no,5837
Medium,High,Sensitive,1593218,9951950,no,4212
Small,Medium,Sensitive,4031574,7905753,no,11598
Large,Medium,Sensitive,1769882,5265117,yes,6654
Large,Low,Sensitive,3865682,11166873,no,14004
Large,Medium,Non-sensitive,461272,16260750,no,13445
Medium,Medium,Non-sensitive,354799,14202051,no,3292
Medium,Low,Sensitive,2514691,11317417,no,7043
Medium,Low,Sensitive,2646426,19288731,yes,4012
Medium,High,Non-sensitive,2798292,15105790,yes,12099
Small,Medium,Sensitive,1759607,14028632,no,12060
Small,High,Sensitive,1180263,19524145,yes,4655
Small,Medium,Non-sensitive,4046051,8630677,no,14535
Small,High,Non-sensitive,818636,6942469,yes,5104
Large,High,Non-sensitive,1784963,16493161,no,10593
Medium,Medium,Non-sensitive,234883,18836873,no,4189
Large,Low,Sensitive,3795136,10813477,no,8324
Large,Medium,Sensitive,419878,10999158,yes,6359
Large,High,Sensitive,2194637,19270052,no,8784
Medium,High,Sensitive,3924102,2956300,no,8599
Medium,Low,Sensitive,1822644,2790993,yes,4746
Medium,Low,Sensitive,3824311,3307668,no,10637
Large,High,Sensitive,4918323,11219432,yes,6952
Large,High,Sensitive,2315399,14464988,no,11183
Large,Medium,Non-sensitive,4591951,16041288,no,13795
Small,Low,Sensitive,139819,14405558,no,10154
Large,Medium,Sensitive,4024943,13003299,yes,14773
Large,Low,Non-sensitive,4163741,6911272,yes,3902
Large,High,Sensitive,1295436,4667874,yes,10111
Medium,Low,Non-sensitive,769849,11757396,yes,14158
Small,Low,Sensitive,4605266,19994447,yes,9524
Medium,Medium,Sensitive,4277826,13493334,yes,9619
Medium,Low,Non-sensitive,2649056,15879886,yes,4772
Small,Low,Non-sensitive,3457376,1074439,no,10243
Large,Medium,Non-sensitive,270227,11238695,no,10786
Small,Medium,Sensitive,3599456,6273219,no,7040
Small,High,Non-sensitive,1048957,6627417,no,3152
Medium,Medium,Non-sensitive,1306312,8624256,yes,3834
Large,Medium,Non-sensitive,2665914,15160256,no,3927
Small,Medium,Non-sensitive,2641115,18517619,no,9529
Small,Medium,Sensitive,2028907,14560212,no,14873
Large,Medium,Non-sensitive,3535760,12066478,no,11439
Large,High,Non-sensitive,3282072,2444905,yes,7940
Medium,High,Non-sensitive,1958451,14314359,no,4012
Medium,Medium,Sensitive,4888308,17199976,no,10997
Small,Low,Sensitive,2134325,3288039,yes,14017
Medium,Low,Sensitive,942775,18381365,no,14910
Small,Medium,Sensitive,3326650,6888316,yes,11268
Small,Low,Non-sensitive,4028580,10365486,no,14471
Small,Medium,Sensitive,4043742,2675995,yes,8890
Small,Medium,Sensitive,399345,5089902,yes,12578
Small,High,Non-sensitive,1612617,18420184,no,13030
Small,High,Non-sensitive,2080014,4317874,yes,7928
Medium,Low,Sensitive,4150843,14797551,yes,9894
Medium,Low,Non-sensitive,3374246,10022822,yes,8798
Medium,Medium,Sensitive,1728064,13243708,yes,9755
